store_page_domain,bounce_rate,total_single_page_viewers,total_visits
nordstrom.com,0.17472118959107807,47,269
bingobytes.co.uk,1.0,1,1
gargyle.com,1.0,3,3
naturesbasin.com,1.0,2,2
speedysigns.com?utm_source=rss&utm_medium=tag,1.0,1,1
engergizer.con,1.0,1,1
exederm.com,1.0,2,2
gutsywomentravel.com,1.0,1,1
wanderlustvintage.com,1.0,1,1
tarte.com?utm_source=rss&utm_medium=tag,1.0,1,1
camelbackbeach.com,1.0,1,1
greatglam.com,1.0,3,3
mightymulestore.com,1.0,1,1
entertainment.com,0.0,0,4
weddingmountain.com,1.0,3,3
fotobuch.de,1.0,2,2
nissanonlineparts.com,1.0,1,1
parts-4-sale.com,1.0,2,2
fabricworm.com?pagewanted=all,1.0,1,1
seamless.com,1.0,5,5
jdvhotels.com?utm_source=rss&utm_medium=tag,1.0,1,1
goodybeads.com,1.0,2,2
welovecolors.com,1.0,3,3
fxnetworks.com?utm_source=rss&utm_medium=tag,1.0,1,1
yankees.com,1.0,1,1
mtnstore.com,1.0,1,1
modelscouts.com,1.0,1,1
rejuvaminerals.com,1.0,1,1
monroeandmain.com?utm_source=rss&utm_medium=merchant,1.0,1,1
helzberg.com?utm_source=rss&utm,1.0,1,1
shoeslet.com,1.0,1,1
wyndham-vacations.com,0.5,3,6
gothamcigars.com,1.0,1,1
wholesaleposterframes.com,1.0,2,2
logos.com,1.0,6,6
mythtvnews.com,1.0,1,1
petazon.net,1.0,1,1
montana-website-design.com,1.0,1,1
munnsworldcoffee.com,1.0,1,1
casualmalexl.com?utm_source=rss&utm_medium=merchant,1.0,1,1
theshowerfoundry.com,0.3333333333333333,1,3
book.golfswitch.com,1.0,1,1
tutsplus.com,1.0,1,1
shopnbc.com,0.75,6,8
designerlinensoutlet.com,0.0,0,3
kavekorzo.hu,1.0,1,1
telescopes.com,1.0,1,1
danner.com,1.0,2,2
fragranceshop.com,1.0,1,1
inksupply.com,1.0,1,1
quickoildrainvalve.com,1.0,2,2
bungalowco.com,1.0,1,1
hotelopia.com,1.0,1,1
sassybax.com,1.0,1,1
seventhavenue.com,1.0,6,6
secondcitystore.com,0.3333333333333333,1,3
dietfreestore.com,1.0,1,1
e-weddingbands.com,1.0,1,1
badkittyexoticwear.com,1.0,1,1
weddingbandswholesale.com,1.0,1,1
corbisimages.com,1.0,2,2
reviews.http://www.rose-articles.net,1.0,1,1
coach.com,0.8805970149253731,59,67
savemart.com?utm_source=rss&utm_medium=merchant,1.0,1,1
handbagsoutlet.biz,1.0,1,1
healthsense-vitamins.co.uk,1.0,1,1
bigmansland.com,1.0,1,1
diningin.com?pagewanted=all,1.0,1,1
lightinguniverse.com,1.0,3,3
libertyboardshop.com,1.0,1,1
quicken.http://Way2bookmarks.com/userrss.php?user=raymundostei49,1.0,1,1
johnthelegend.partishop.net,1.0,1,1
ptk.org,1.0,1,1
extraspace.com?utm_source=rss&utm_medium=merchant,1.0,1,1
canadadrugpharmacy.com,1.0,1,1
elephantbar.com?utm_source%3Drss%26utm_medium%3Dtag,1.0,1,1
nationalcathedral.org,1.0,1,1
milehighcomics.com,1.0,1,1
bhg.com,1.0,7,7
avestin.com,1.0,1,1
mystarbucksvisit-ph.com001768407121130,1.0,1,1
musicdispatch.com,1.0,1,1
goodwilltoo.com,1.0,2,2
firsttothefinish.com,1.0,1,1
alfa-event.com,1.0,1,1
necklacesandbracelets.co.uk,1.0,1,1
croscilloutlet.com,1.0,1,1
kidcruisers.com,1.0,1,1
buyairsoft.ca,1.0,1,1
mailwasher.net,1.0,2,2
fleshlightgirls.com,1.0,1,1
moncalin.com,1.0,1,1
redstarworldwear.com,1.0,2,2
picaboo.com,1.0,8,8
egrabber.com,1.0,1,1
